colony_name,category
"Harijan Colony, Wazir Pur",G
Hari Krishna Nagar,G
"Hari Nagar (19,20)",F
Hari Nagar Ashram,G
Hari Nagar Ashram Colony,E
"Hari Nagar Extn, Jaitpur Road",G
"Hari Nagar, Najafgarh",G
Hari Nagar Village,H
Hari Singh Park,E
Harit Niketan,E
"Harit Vihar, Burari",G
"Hari Vihar Colony, Kakraula Road",G
Harkeh Nagar,F
Harkesh Nagar,G
Harkishan Nagar Matiala Extn,G
Harsarup Colony Fatehpur Beri,G
Harshdev Colony,G
"Harsh Dev Park, Budh Vihar (Rithala Road)",G
Harsh Vihar,D
Harsh Vihar (Dilshad Garden),F
Hasanpur,H
Hasanpur Colony,G
Hasanpur (Preet Vihar),G
Hastal Colony,G
Hastsal,G
Hastsal (Janta Flats),G
Hastsal Vihar,H
Hathi Khana,E
Hauz Khas,B
Hauz Khas Village,E
Hauz Qazi,E
Hauz Rani,G
Hauz Rani Mohalla,G
Haveli Haider Kuli,E
Hawaldar Muktiyar Singh Marg,G
Hazara Park,F
Hazari Park (Holambi),G
"Hemant Vihar, Rajpur Khurd",G
Hemkunt Colony,B
"Hill View Apartment, Vasant Vihar",C
Himgiri Enclave,G
"Himgiri Enclave, Mukandpur",G
Himmatpuri,G
Hind Nagar,F
Hiranki,H
"Hira Park, Najafgarh",G
Holambi Kalan,H
Holambi Khurd,H
HUDCO Place,A
Hudson Line (Kingsway),D
Humayanpur,E
IAAI Colony,E
Ibrahim Pur,H
Ibrahimpur Extn,G
"Ideal Society, Dabri",G
IINAA Housing Complex,E
IIT Area,B
INA Colony,B
"Inderaj Colony, Bawana",G
Inder Enclave,D
Inder Enclave (Kanjhawala),G
Inder Enclave Phase 1,G
Inder Enclave Phase-II,G
Inderlok A Block,F
Inderlok B Block,F
"Inder Prastha, Amrit Vihar, Burari",G
Inderpuri,E
Indian Air Lines Colony,E
Indira Camp (Jhilmil Colony),F
Indira Jheel,G
Indira Kalyan Vihar,G
Indira Nagar,G
Indira Nagar Bhatti Mines,G
Indira Park Palam,G
Indira Vihar,D
Indira Vihar (Gokalpur),F
Indira Vikas Colony,F
Indra Colony (Narela),G
Indra Enclave Neb Sarai,F
Indra Park,G
Indra Park Extn,G
Indra Park (Preet Vihar),F
"Indraprastha Colony, Nathupura",G
Indraprastha Extension,D
Indraprasth Estate,A
"Institutional Area, Pankha Road",C
Iradat Nagar (Naya Bans),H
Isapur (Jafrabad),H
Ishwar Colony,D
"Ishwar Colony, Bawana",G
Ishwar Colony (Nangli Dairy),G
Ishwar Nagar,B
Islam Colony Mehrauli,F
Jafarpur Alias Hiran Kudna,H
Jafar Pur Kalan,H
Jaffarpur Extn,G
Jaffrabad,F
Jagadamba Vihar Sagarpur,G
Jagat Pur (Burari),H
Jagatpur Extn,G
Jagatpuri,F
Jagat Puri A Block,F
Jagatpuri (Bhagwanpur),F
"Jagat Puri, Preet Vihar",F
"Jagat Ram Park, M,N,L (Laxmi Nagar)",F
"Jagdamba, Badarpur",G
Jagjeet Nagar,G
Jagjeevan Nagar,G
Jagjivan Ram Housing Society,E
Jagriti Enclave,D
Jahangirpuri,G
Jahangirpuri Industrial Area,F
Jai Bharat Enclave,G
Jai Dev Park,D
Jai Dev Park (DDA Flats),E
Jain Colony,G
Jain Colony (Uttam Nagar),F
Jain Colony (Vir Nagar),E
Jain Mohalla,F
Jain Nagar,G
"Jain Park, Pankha Road",G
Jain Park (Uttam Nagar),F
Jainpur,H
Jai Prakash Mohalla,G
Jai Prakash Nagar,F
Jaipur Estate,B
Jait Pur,H
Jait Pur Extn,G
Jai Vihar,G
"Jai Vihar Colony, Najafgarh",G
"Jai Vihar, Nangloi Road",G
Jal Vihar,D
Jama Masjid,E
Jamia Nagar,F
Janak Park,F
Janakpuri,D
Jangpura A,D
Jangpura B,F
Jangpura Extension,D
"Janki Puri, Jeewan Park (Uttam Nagar)",G
Janta Colony,G
Janta Colony JJ Cluster,G
Janta Colony (Paschim Puri),E
"Janta Colony, Raghubir Nagar",F
"Janta Colony, Shahdara",F
Janta Flats Paschim Vihar,D
"Janta Vihar Colony, Najafgarh",G
Jasola,G
Jasola Vihar,D
"Jatav Basti, Mehrauli",G
Jat Khor,H
Jaunti,H
Jawahar Camp,G
Jawaharlal Nehru Camp,G
Jawahar Nagar,D
Jawahar Park,F
Jawalaheri,G
Jawala Nagar,F
Jawalapuri,D
Jawalapuri Extension,G
Jeevan Niketan,D
Jeevan Park,F
Jeevan Park (Uttam Nagar),G
Jeevan Sarita,F
Jhagu Mal Colony,F
Jhandewalan Area,C
Jhandewalan Extn,C
Jhangola,H
Jharoda Dairy,G
Jharoda Extn Burari,G
Jharoda Kalan,H
Jharoda Majra Burari,H
Jhatikra,H
Jheel Khurenja,F
Jheemar Pura Village,H
Jhilmil Colony,G
Jhilmil Industrial Area,F
Jhilmil Tahirpur,G
Jhuggi Jhonpri Colony,G
Jhuljhuli,H
Jia Sarai,E
Jitar Nagar,F
Jiwan Nagar,E
Jiwan Pur Alias Joshipura,H
JJ Colony Hastsal,G
JJ Colony (Khanpur),G
JJ Colony Nangloi,G
JJ Colony Wazirpur,G
JJ Indra Camp Saidullajaib,G
JNU Campus Area,B
JNU Old Campus,B
Joga Bai Extn,F
Joga Bai Village,G
Jogiwana,E
Joharipur,F
Jonapur,H
Joorbagh,F
Joshi Colony,F
Jyoti Colony,F
Jyoti Nagar East,F
Jyoti Nagar West Extn,F
Kabir Basti,G
Kabir Bastu,F
Kabir Nagar,F
Kabul Nagar,F
Kaccha Bagh Area,E
"Kachi Colony, Vijay Park",G
Kadi Pur,H
Kadi Pur Vihar,G
Kailash Colony,B
Kailash Enclave,D
Kailash Extn Nasirpur,G
Kailash Hill,C
Kailash Kunj,C
Kailash Nagar,F
Kailash Park,E
Kailash Puri (Nasirpur),G
Kailash Puri (Palam Colony),G
Kailash Ram Park Uttam Nagar,G
Kailash Vihar,G
Kair,H
Kaithwara,F
Kaithwara Village,F
Kakraola,G
Kakrola Extn (Village),G
Kalander,F
Kalan Mahal,E
Kali Basti,G
Kalindi Colony,A
Kalkaji,C
Kalkaji Extn,D
Kalu Sarai,E
Kalyan Puri,G
Kalyanvas,F
Kalyan Vihar,D
Kamal Kunj Najafgarh,G
Kamal Park Palam Colony,G
Kamal Pur,H
Kamal Pur (Kamal Vihar),G
Kamal Vihar Madhu Vihar,G
Kamaruddin Nagar,G
Kamla Market,D
Kamla Market Roshanpura,G
Kamla Nagar,D
Kanchipur,F
Kanchipur Village,G
Kangan Heri,H
Kangra Niketan,D
Kangra Vihar Mohan Garden Extn,G
Kanhiya Nagar,F
Kanjhawala,H
Kankar Khera,G
Kankar Khera Village,H
Kanti Nagar,F
Kanti Nagar Extn,F
Kanwar Singh Nagar Nangloi,G
Kapas Hara Extn,F
Kapas Hera Village,H
Kapil Vihar,D
Kapoor Basti,F
Karala,H
Karala Majri,G
Karampura,F
Karampura Industrial Area,E
Karan Vihar (Nangloi),G
Karawal Nagar,H
Karawal Nagar,F
Kardampuri,G
Karkar Duma Colony,D
Karkar Duma Village,G
Karol Bagh,D
Kartar Nagar,F
Kaseru Walan,E
Kashmere Gate,E
Kashmiri Colony,G
Kasturba Nagar,F
Kasturba Nagar (Sewa Nagar),D
Kasturba Niketan,E
Kasum Pur Village,H
Katewra,H
Kathputli Colony JJ Cluster,G
Katra Asharfi,E
Katra Chhotey Lal,E
Katra Dhobl,E
Katra Ghel,E
Katra Husain Bax,E
Katra Imli,E
Katra Mashru,E
Katra Nawab,E
Katra Neel,E
Katra Pedan,E
Katra Shahenshah,E
Katwaria Sarai,E
Katyani Vihar,G
"Kaushik Enclave, Nathupura",G
"Kavita Colony, Nangloi",F
Kedar Bagh (Rohtak Road),E
Keshav Nagar (Ibrahimpur),G
Keshav Puram (DDA Flats),F
Keshopur,G
Kewal Park,G
Kewal Park Extension,E
Kewal Park Pankha Road,F
Khajan Basti,F
Khajan Basti Extn,F
Khajoori Colony,F
Khajoori Khas,H
Khajuri Village Extn,G
Khampur,H
Kham Pur Raya,G
Khanpur Colony,G
Khan Pur Dhani,H
Khanpur Extn,G
Khanpur Village,G
Kharara Village,G
Kharera,E
Khari Baoli,E
Kharkhari Jatmal,H
Kharkhari Nahar,H
Kharkhari Road,H
Khayala,G
Khera,H
Khera Dabar,H
Khera Kalan,H
Khera Khurd,H
Kheria Mohalla,E
Khichripur Village,G
Khirki Ext,E
Khirki Village,F
Khizrabad,F
"Khub Ram Park, Nangloi",G
"Khubsoorat Vihar, Mubarakpur Road",G
Khureji Khas,G
Khush Dil,E
Khusi Ram Park,G
Khyala Phase I/II/III,G
Khyber Pass,E
Kilokari Extn,E
Kilokri,E
Kilokri Ring Road,B
Kiran Garden,G
Kiran Vihar,D
Kirari Extn Part 1–4,G
Kirari Suleman Nagar,H
Kirari Suleman Nagar Colony,G
Kirari Village,H
Kirpal Bagh,D
Kirti Nagar,D
Kirti Nagar Industrial Area,E
Kishan Ganj,E
Kishangarh Colony,E
Kishangarh Village,G
Kohat Enclave,D
Kondali Extn,G
Kondli Village,H
Kotla,G
Kotla Mahingiran,H
Kotla Mubarakpur,E
Kotla Vihar Tilangpur,G
Kotla Village,G
Krishan Kunj,F
Krishan Vihar Colony Bawana,G
Krishan Vihar Najafgarh,G
Krishi Kunj,D
Krishi Niketan,D
Krishi Vihar,B
Krishna Enclave Najafgarh,G
Krishna Estate,G
Krishna Nagar,E
Krishna Nagar (Karol Bagh),D
Krishna Nagar (Singhu),G
Krishna Nagar (South Delhi),E
Krishnan Society,G
Krishna Park,D
